"output_group","dataset","filename","plot_data_file","analysis_setting","quantity","method_scope","comparison","source_run_ids"
"simulation","simulation","manuscript/simulation/large_domain_direction_comparison.pdf","output/data/summary/large_domain_direction_comparison.csv","large-domain simple-direction experiment; truth=0.6","Monte Carlo mean direction functional","Both","FPCA and Proposed","experiment_3a_simple_direction=experiment_3a_simple_direction_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
"simulation","simulation","manuscript/simulation/large_domain_eigenspace_comparison.pdf","output/data/summary/large_domain_eigenspace_comparison.csv","large-domain repeated-eigenspace experiment; truth=0.45","Monte Carlo mean projector functional","Both","FPCA and Proposed","experiment_3b_repeated_eigenspace=experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
"simulation","simulation","manuscript/simulation/large_domain_individual_alignment.pdf","output/data/summary/large_domain_individual_alignment.csv","large-domain repeated-eigenspace experiment","Monte Carlo SD of individual squared alignment","Proposed","none","experiment_3b_repeated_eigenspace=experiment_3b_repeated_eigenspace_n-values150-300-600_replications150x2000-300x1500-600x1000_domain-ruleT-n-div-3_basis-ruleN-2n_decay1p1_M3_K05_distributionGaussian_cfg001f14e6"
"simulation","simulation","manuscript/simulation/functional_eigenvalue_fpca_vs_proposed.pdf","output/data/summary/functional_eigenvalue_fpca_vs_proposed.csv","Haar covariance; Uniform scores; spike 2; n=150,300,600","Monte Carlo mean population-spike estimate","Both","FPCA and Proposed","experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3"
"simulation","simulation","manuscript/simulation/functional_reliability_check.pdf","output/data/summary/functional_reliability_check.csv","Haar covariance; Uniform scores; spike 2; n=150,300,600","squared population overlap and reliability","Proposed","empirical overlap and Proposed r2","experiment_2b_functional_asymptotics=experiment_2b_functional_asymptotics_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_decay1p1_M3_K03_spike-indices2_design-gridF3-Haar-Unif_cfg004232d3"
"simulation","simulation","manuscript/simulation/large_domain_discretization_error.pdf","output/data/summary/large_domain_discretization_error.csv","n=300; dense-grid functional experiment","median root-n discretization error","Proposed","grid and oracle implementations","experiment_3c_grid_saturation=experiment_3c_grid_saturation_n300_T100_N200_m-values500-1000-1500-2000-3000_replications1000_decay1p1_M3_K05_distributionGaussian_cfg0016c5aa"
"simulation","simulation","manuscript/simulation/k0_sensitivity_rmse.pdf","output/data/summary/k0_sensitivity_rmse.csv","Haar covariance; Uniform scores; spike 2; K0=5 versus baseline K0=M=3","n times paired K0-sensitivity RMSE","Proposed","alpha, Delta, and r2","robustness_k0=robustness_k0_n-values150-300-600_replications150x2000-300x1500-600x1000_p-rulep-nearest-multiple-10-to-n-3_N200_M3_K0-values3-5-8_spike-indices2_scenarioF3-Haar_distribution-gridUniform_cfg0051d6aa"
"simulation","simulation","manuscript/simulation/fourth_cumulant_variance.pdf","output/data/summary/fourth_cumulant_variance.csv","diagonal functional covariance; spike 2; Gaussian, t12, and Uniform scores","theoretical-to-empirical SD ratio","Proposed","universal and full fourth-cumulant variance","robustness_universality=robustness_universality_n300_p100_N200_replications2000_M3_K05_scenarioF1-diagonal_distribution-gridGaussian-t12-Uniform_cfg0029be9b"
"real_data","eegmmidb","manuscript/real_data/eegmmidb/eegmmidb_spectrum.pdf","output/real_data/eegmmidb/eegmmidb_spectrum.csv","EEGMMIDB R04; n=105","sample spectrum","FPCA","none","real_eegmmidb_run4_n-subjects105_p-channels64_n-time-points80_band-hz8-30_output-hz20_K010_J6_cfg00d16ade"
"real_data","eegmmidb","manuscript/real_data/eegmmidb/eegmmidb_phase_reliability.pdf","output/real_data/eegmmidb/eegmmidb_phase_reliability.csv","EEGMMIDB R04; primary K0=10","phase margin and reliability estimates","Proposed","sample PCs 1--6","real_eegmmidb_run4_n-subjects105_p-channels64_n-time-points80_band-hz8-30_output-hz20_K010_J6_cfg00d16ade"
"real_data","capture24","manuscript/real_data/capture24/capture24_spectrum_24h.pdf","output/real_data/capture24/capture24_spectrum_24h.csv","24-hour wake-aligned curve","sample spectrum","FPCA","leading regular PCs and remaining spectrum","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_effective_rank.pdf","output/real_data/capture24/capture24_effective_rank.csv","6, 12, 18, and 24 hours","effective rank","FPCA","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc_reliability.pdf","output/real_data/capture24/capture24_pc_reliability.csv","6, 12, 18, and 24 hours","r2 estimate","Proposed","PC1 and PC2","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc1_pve.pdf","output/real_data/capture24/capture24_pc1_pve.csv","6, 12, 18, and 24 hours","sample FPCA PVE","FPCA","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc1_eigenvalue_comparison.pdf","output/real_data/capture24/capture24_pc1_eigenvalue_comparison.csv","PC1; 6, 12, 18, and 24 hours","sample eigenvalue and corrected spike estimate","Both","FPCA and Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc2_eigenvalue_comparison.pdf","output/real_data/capture24/capture24_pc2_eigenvalue_comparison.csv","PC2; 6, 12, 18, and 24 hours","sample eigenvalue and corrected spike estimate","Both","FPCA and Proposed","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_mean_function.pdf","output/real_data/capture24/capture24_mean_function.csv","24-hour wake-aligned function","mean_log1p_enmo_mg","Proposed","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc1_function.pdf","output/real_data/capture24/capture24_pc1_function.csv","24-hour wake-aligned function","PC1_function","Proposed","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc2_function.pdf","output/real_data/capture24/capture24_pc2_function.csv","24-hour wake-aligned function","PC2_function","Proposed","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
"real_data","capture24","manuscript/real_data/capture24/capture24_pc3_function.pdf","output/real_data/capture24/capture24_pc3_function.csv","24-hour wake-aligned function","PC3_function","Proposed","none","real_capture24_n-subjects150_grid-size17280_domain-hours6-12-18-24_epoch-seconds5_sleep-gap-tolerance-minutes20_minimum-main-sleep-hours1_K08_J6_cfg009cacfe"
